viewer_id,age,gender,city,country,subscription_tier,segment,signup_date,is_active
V0411,25,M,New York,US,Basic,Binge-Watcher,2022-07-22,False
V0412,41,Other,Toronto,US,Free,New-User,2023-08-24,True
V0413,22,M,Los Angeles,IN,Basic,Casual,2024-05-17,True
V0414,25,M,Dallas,IN,Family,Power-User,2022-01-31,False
V0415,61,F,Chicago,US,Basic,Weekend-Only,2022-10-14,False
V0416,27,M,London,US,Basic,Weekend-Only,2023-05-26,False
V0417,53,F,New York,IN,Basic,Power-User,2022-07-24,True
V0418,58,Other,New York,US,Premium,Power-User,2023-07-12,False
V0419,40,Other,Mumbai,US,Premium,Binge-Watcher,2022-01-27,True
V0420,56,M,New York,US,Premium,Casual,2024-04-08,False
V0421,51,F,London,US,Basic,Casual,2022-09-11,True
V0422,35,Other,Sydney,CA,Family,Weekend-Only,2024-05-09,True
V0423,29,M,London,US,Premium,New-User,2022-01-29,True
V0424,54,Other,Chicago,US,Basic,Power-User,2023-07-10,True
V0425,29,F,New York,CA,Basic,Casual,2023-06-24,False
V0426,18,F,London,US,Basic,Weekend-Only,2024-01-05,True
V0427,38,M,New York,CA,Free,New-User,2024-05-31,True
V0428,22,F,Sydney,US,Family,New-User,2022-04-14,True
V0429,37,F,Chicago,US,Family,Power-User,2023-10-27,True
V0430,29,Other,Mumbai,US,Premium,Binge-Watcher,2023-11-13,True
V0431,42,F,Sydney,US,Basic,Binge-Watcher,2024-01-17,True
V0432,62,Other,San Antonio,US,Free,Binge-Watcher,2023-09-09,True
V0433,57,M,Toronto,US,Family,Binge-Watcher,2022-12-06,True
V0434,33,F,Philadelphia,UK,Premium,Power-User,2022-01-12,True
V0435,31,M,Sydney,AU,Free,Casual,2022-02-19,False
V0436,46,Other,San Antonio,US,Family,Power-User,2023-01-23,True
V0437,52,F,Los Angeles,US,Basic,Binge-Watcher,2023-04-08,True
V0438,20,F,New York,US,Free,Casual,2022-12-17,True
V0439,42,M,Sydney,UK,Premium,New-User,2023-09-21,False
V0440,63,M,San Antonio,US,Basic,New-User,2023-03-21,True
V0441,21,M,Philadelphia,US,Basic,Power-User,2023-12-15,True
V0442,60,F,Phoenix,US,Free,Power-User,2023-08-09,False
V0443,27,M,Philadelphia,UK,Premium,New-User,2023-05-07,True
V0444,24,M,Houston,AU,Free,Power-User,2024-05-14,True
V0445,37,F,Dallas,US,Premium,Casual,2023-10-20,False
V0446,29,F,San Antonio,US,Family,Casual,2022-09-27,False
V0447,47,F,Houston,US,Free,Binge-Watcher,2024-02-10,True
V0448,23,Other,Philadelphia,US,Family,New-User,2022-08-21,True
V0449,42,Other,San Antonio,US,Family,New-User,2022-08-30,False
V0450,37,M,San Antonio,US,Free,New-User,2023-08-08,True
V0451,25,F,Chicago,US,Basic,Binge-Watcher,2024-04-07,True
V0452,26,M,San Antonio,IN,Basic,Binge-Watcher,2024-05-04,True
V0453,38,Other,Los Angeles,IN,Premium,Weekend-Only,2023-06-17,False
V0454,18,Other,London,US,Family,Casual,2023-03-01,True
V0455,27,Other,London,US,Free,Casual,2023-07-31,True
V0456,36,Other,Philadelphia,US,Premium,Power-User,2023-11-02,False
V0457,54,Other,Dallas,AU,Family,Binge-Watcher,2023-09-26,False
V0458,20,F,Philadelphia,US,Free,Power-User,2022-10-03,True
V0459,19,F,Phoenix,US,Family,Casual,2024-06-08,True
V0460,26,F,Sydney,US,Premium,Weekend-Only,2024-01-17,False
V0461,56,Other,Los Angeles,CA,Family,Power-User,2024-02-17,True
V0462,21,Other,Chicago,IN,Basic,New-User,2024-06-19,True
V0463,29,M,Houston,US,Basic,Casual,2023-04-13,True
V0464,41,Other,Houston,US,Family,New-User,2023-02-11,True
V0465,61,M,Houston,US,Family,Binge-Watcher,2024-06-10,False
V0466,55,Other,Philadelphia,US,Premium,Casual,2022-10-19,True
V0467,42,M,Chicago,US,Basic,Binge-Watcher,2023-10-25,True
V0468,61,M,Phoenix,US,Free,Casual,2023-05-01,True
V0469,59,M,London,US,Basic,Weekend-Only,2023-09-15,True
V0470,63,Other,Toronto,US,Family,Weekend-Only,2023-04-16,True
V0471,31,F,Phoenix,US,Family,New-User,2022-04-15,True
V0472,50,Other,Philadelphia,US,Premium,Weekend-Only,2023-12-02,True
V0473,48,M,Philadelphia,US,Premium,Weekend-Only,2022-09-25,True
V0474,30,M,Mumbai,US,Free,New-User,2023-02-18,True
V0475,61,M,Sydney,IN,Premium,Weekend-Only,2023-03-05,False
V0476,42,Other,New York,US,Basic,Weekend-Only,2024-01-14,True
V0477,61,Other,Toronto,US,Premium,New-User,2022-11-04,True
V0478,60,Other,Chicago,US,Family,Binge-Watcher,2024-01-29,True
V0479,64,Other,Chicago,US,Premium,Casual,2022-08-16,True
V0480,32,Other,Phoenix,US,Premium,Weekend-Only,2022-09-24,True
V0481,47,M,Dallas,UK,Family,Binge-Watcher,2023-05-28,True
V0482,61,F,Mumbai,US,Free,Binge-Watcher,2022-05-21,True
V0483,39,F,London,US,Family,Binge-Watcher,2022-11-20,True
V0484,23,F,Philadelphia,US,Basic,Weekend-Only,2023-10-12,True
V0485,18,F,Phoenix,US,Basic,New-User,2024-02-22,True
V0486,49,M,Chicago,US,Family,Power-User,2023-03-16,False
V0487,42,M,New York,US,Premium,Casual,2022-11-26,True
V0488,19,Other,New York,US,Basic,Binge-Watcher,2023-12-12,True
V0489,37,M,Los Angeles,US,Premium,Binge-Watcher,2022-03-08,True
V0490,37,F,Dallas,US,Premium,Power-User,2023-12-05,True
V0491,39,F,Philadelphia,US,Basic,Power-User,2022-01-20,True
V0492,32,Other,Chicago,US,Free,New-User,2023-06-01,True
V0493,25,F,Sydney,US,Free,Power-User,2024-06-16,True
V0494,52,Other,New York,US,Free,Casual,2023-11-01,True
V0495,21,Other,Los Angeles,US,Family,Casual,2023-07-15,True
V0496,48,Other,Chicago,US,Free,Weekend-Only,2023-03-07,True
V0497,60,Other,Phoenix,US,Basic,Power-User,2024-04-30,True
V0498,50,Other,London,UK,Free,Power-User,2022-07-23,True
V0499,34,Other,Houston,US,Family,Weekend-Only,2022-06-14,True
V0500,53,F,Houston,US,Family,Weekend-Only,2022-08-29,True
